Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B
14	AAMP	6293	VPS52
14	AAMP	8553	BHLHE40
14	AAMP	64782	AEN
15	AANAT	4188	MDFI
15	AANAT	8553	BHLHE40
28	ABO	65983	GRAMD3
28	ABO	84283	TMEM79
39	ACAT2	39	ACAT2
39	ACAT2	84708	LNX1
60	ACTB	60	ACTB
60	ACTB	71	ACTG1
60	ACTB	1072	CFL1
60	ACTB	1073	CFL2
60	ACTB	1962	EHHADH
60	ACTB	10486	CAP2
60	ACTB	11034	DSTN
60	ACTB	55093	WDYHV1
71	ACTG1	71	ACTG1
71	ACTG1	1072	CFL1
71	ACTG1	1073	CFL2
71	ACTG1	1962	EHHADH
71	ACTG1	10486	CAP2
71	ACTG1	11034	DSTN
71	ACTG1	28952	CCDC22
71	ACTG1	55093	WDYHV1
81	ACTN4	89	ACTN3
81	ACTN4	655	BMP7
81	ACTN4	51778	MYOZ2
87	ACTN1	87	ACTN1
87	ACTN1	89	ACTN3
87	ACTN1	4938	OAS1
87	ACTN1	9852	EPM2AIP1
87	ACTN1	51778	MYOZ2
87	ACTN1	79778	MICALL2
87	ACTN1	200845	KCTD6
87	ACTN1	220082	SPERT
88	ACTN2	88	ACTN2
88	ACTN2	4342	MOS
88	ACTN2	6615	SNAI1
88	ACTN2	6672	SP100
88	ACTN2	27295	PDLIM3
88	ACTN2	51778	MYOZ2
88	ACTN2	79778	MICALL2
88	ACTN2	84312	BRMS1L
88	ACTN2	158297	FAM154A
88	ACTN2	285093	RTP5
89	ACTN3	89	ACTN3
89	ACTN3	5966	REL
89	ACTN3	7185	TRAF1
89	ACTN3	7186	TRAF2
89	ACTN3	10529	NEBL
89	ACTN3	51225	ABI3
89	ACTN3	54778	RNF111
89	ACTN3	64857	PLEKHG2
89	ACTN3	84970	C1orf94
89	ACTN3	200845	KCTD6
89	ACTN3	391257	SUMO1P1
95	ACY1	4521	NUDT1
98	ACYP2	6820	SULT2B1
98	ACYP2	58487	CREBZF
118	ADD1	10363	HMG20A
141	ADPRH	7024	TFCP2
163	AP2B1	293	SLC25A6
163	AP2B1	3838	KPNA2
163	AP2B1	7307	U2AF1
163	AP2B1	10053	AP1M2
163	AP2B1	10411	RAPGEF3
163	AP2B1	25828	TXN2
163	AP2B1	27125	AFF4
163	AP2B1	55145	THAP1
163	AP2B1	91419	XRCC6BP1
163	AP2B1	129807	NEU4
164	AP1G1	8905	AP1S2
164	AP1G1	84993	UBL7
166	AES	166	AES
166	AES	604	BCL6
166	AES	705	BYSL
166	AES	1406	CRX
166	AES	1656	DDX6
166	AES	2670	GFAP
166	AES	2801	GOLGA2
166	AES	2885	GRB2
166	AES	3185	HNRNPF
166	AES	3801	KIFC3
166	AES	3860	KRT13
166	AES	3866	KRT15
166	AES	3881	KRT31
166	AES	4004	LMO1
166	AES	4005	LMO2
166	AES	4088	SMAD3
166	AES	4154	MBNL1
166	AES	4236	MFAP1
166	AES	4253	CTAGE5
166	AES	4665	NAB2
166	AES	5562	PRKAA1
166	AES	5563	PRKAA2
166	AES	5859	QARS
166	AES	5966	REL
166	AES	5987	TRIM27
166	AES	6386	SDCBP
166	AES	6495	SIX1
166	AES	6498	SKIL
166	AES	6631	SNRPC
166	AES	6660	SOX5
166	AES	6733	SRPK2
166	AES	6925	TCF4
166	AES	6926	TBX3
166	AES	6945	MLX
166	AES	7185	TRAF1
166	AES	7186	TRAF2
166	AES	7726	TRIM26
166	AES	8241	RBM10
166	AES	8543	LMO4
166	AES	8553	BHLHE40
166	AES	8576	STK16
166	AES	8676	STX11
166	AES	8812	CCNK
166	AES	9470	EIF4E2
166	AES	9643	MORF4L2
166	AES	9743	ARHGAP32
166	AES	9841	ZBTB24
166	AES	9911	TMCC2
166	AES	10152	ABI2
166	AES	10241	CALCOCO2
166	AES	10783	NEK6
166	AES	10817	FRS3
166	AES	11030	RBPMS
166	AES	11338	U2AF2
166	AES	22806	IKZF3
166	AES	22893	BAHD1
166	AES	23154	NCDN
166	AES	23181	DIP2A
166	AES	23281	MTUS2
166	AES	23641	LDOC1
166	AES	25959	KANK2
166	AES	26003	GORASP2
166	AES	26121	PRPF31
166	AES	29079	MED4
166	AES	29948	OSGIN1
166	AES	54955	C1orf109
166	AES	55048	VPS37C
166	AES	55072	RNF31
166	AES	55110	MAGOHB
166	AES	57594	HOMEZ
166	AES	57819	LSM2
166	AES	64098	PARVG
166	AES	64170	CARD9
166	AES	64782	AEN
166	AES	79005	SCNM1
166	AES	79177	ZNF576
166	AES	79444	BIRC7
166	AES	79616	CCNJL
166	AES	79720	VPS37B
166	AES	79843	FAM124B
166	AES	79869	CPSF7
166	AES	80022	MYO15B
166	AES	80705	TSGA10
166	AES	80742	PRR3
166	AES	81628	TSC22D4
166	AES	81629	TSSK3
166	AES	83746	L3MBTL2
166	AES	84304	NUDT22
166	AES	84528	RHOXF2
166	AES	84619	ZGPAT
166	AES	84766	CRACR2A
166	AES	84970	C1orf94
166	AES	84988	PPP1R16A
166	AES	85302	FBF1
166	AES	85376	RIMBP3
166	AES	85403	EAF1
166	AES	90933	TRIM41
166	AES	91544	UBXN11
166	AES	93986	FOXP2
166	AES	117286	CIB3
166	AES	123722	FSD2
166	AES	125115	KRT40
166	AES	127703	C1orf216
166	AES	147525	LINC00526
166	AES	154313	C6orf165
166	AES	167826	OLIG3
166	AES	220108	FAM124A
166	AES	222546	RFX6
166	AES	284001	CCDC57
166	AES	386675	KRTAP10-7
166	AES	386676	KRTAP10-9
166	AES	386681	KRTAP10-8
166	AES	386682	KRTAP10-3
166	AES	388677	NOTCH2NL
172	AFG3L1P	7337	UBE3A
185	AGTR1	5149	PDE6H
190	NR0B1	2104	ESRRG
190	NR0B1	2516	NR5A1
191	AHCY	191	AHCY
191	AHCY	10513	APPBP2
191	AHCY	79078	C1orf50
191	AHCY	91369	ANKRD40
207	AKT1	8115	TCL1A
211	ALAS1	211	ALAS1
211	ALAS1	605	BCL7A
211	ALAS1	5493	PPL
211	ALAS1	6919	TCEA2
211	ALAS1	7114	TMSB4X
211	ALAS1	7115	TMSB4XP1
211	ALAS1	7116	TMSB4XP2
211	ALAS1	7120	TMSB4XP6
211	ALAS1	7456	WIPF1
211	ALAS1	7728	ZNF175
211	ALAS1	9168	TMSB10
211	ALAS1	10868	USP20
211	ALAS1	23503	ZFYVE26
211	ALAS1	26073	POLDIP2
211	ALAS1	54535	CCHCR1
211	ALAS1	54552	GNL3L
211	ALAS1	54980	C2orf42
211	ALAS1	57634	EP400
211	ALAS1	63898	SH2D4A
211	ALAS1	64781	CERK
211	ALAS1	64927	TTC23
211	ALAS1	79577	CDC73
211	ALAS1	84460	ZMAT1
211	ALAS1	91694	LONRF1
211	ALAS1	113115	MTFR2
211	ALAS1	124460	SNX20
211	ALAS1	142679	DUSP19
211	ALAS1	150483	TEKT4
211	ALAS1	163050	ZNF564
211	ALAS1	283212	KLHL35
211	ALAS1	441518	FAM127C
212	ALAS2	54971	BANP
216	ALDH1A1	216	ALDH1A1
221	ALDH3B1	3881	KRT31
221	ALDH3B1	85291	KRTAP4-2
221	ALDH3B1	125115	KRT40
221	ALDH3B1	386675	KRTAP10-7
221	ALDH3B1	386676	KRTAP10-9
221	ALDH3B1	386680	KRTAP10-5
221	ALDH3B1	386681	KRTAP10-8
221	ALDH3B1	386682	KRTAP10-3
221	ALDH3B1	388677	NOTCH2NL
226	ALDOA	226	ALDOA
226	ALDOA	230	ALDOC
226	ALDOA	3441	IFNA4
230	ALDOC	84708	LNX1
240	ALOX5	4222	MEOX1
240	ALOX5	5966	REL
240	ALOX5	8379	MAD1L1
240	ALOX5	79802	HHIPL2
240	ALOX5	80254	CEP63
240	ALOX5	93426	SYCE1
240	ALOX5	256646	NUTM1
240	ALOX5	285753	CEP57L1
248	ALPI	386676	KRTAP10-9
248	ALPI	386681	KRTAP10-8
248	ALPI	386682	KRTAP10-3
248	ALPI	388677	NOTCH2NL
250	ALPP	3846	KRTAP5-9
250	ALPP	83755	KRTAP4-12
250	ALPP	386682	KRTAP10-3
259	AMBP	2275	FHL3
271	AMPD2	271	AMPD2
271	AMPD2	23582	CCNDBP1
273	AMPH	5533	PPP3CC
273	AMPH	159989	CCDC67
273	AMPH	339231	ARL16
293	SLC25A6	373	TRIM23
293	SLC25A6	3881	KRT31
293	SLC25A6	7185	TRAF1
293	SLC25A6	7205	TRIP6
293	SLC25A6	11043	MID2
293	SLC25A6	23281	MTUS2
293	SLC25A6	84445	LZTS2
293	SLC25A6	150483	TEKT4
293	SLC25A6	388677	NOTCH2NL
301	ANXA1	4212	MEIS2
307	ANXA4	23569	PADI4
311	ANXA11	10016	PDCD6
311	ANXA11	10342	TFG
311	ANXA11	55165	CEP55
318	NUDT2	4175	MCM6
327	APEH	327	APEH
327	APEH	3964	LGALS8
327	APEH	9798	IST1
329	BIRC2	842	CASP9
329	BIRC2	2670	GFAP
329	BIRC2	4828	NMB
329	BIRC2	51027	BOLA1
329	BIRC2	55093	WDYHV1
329	BIRC2	55840	EAF2
329	BIRC2	56915	EXOSC5
329	BIRC2	79444	BIRC7
329	BIRC2	79571	GCC1
329	BIRC2	80705	TSGA10
329	BIRC2	152926	PPM1K
331	XIAP	842	CASP9
331	XIAP	843	CASP10
331	XIAP	1163	CKS1B
331	XIAP	2071	ERCC3
331	XIAP	5985	RFC5
331	XIAP	8767	RIPK2
331	XIAP	10783	NEK6
331	XIAP	55048	VPS37C
331	XIAP	91694	LONRF1
331	XIAP	117178	SSX2IP
335	APOA1	116173	CMTM5
336	APOA2	117144	CATSPER1
347	APOD	9218	VAPA
356	FASLG	7205	TRIP6
356	FASLG	8601	RGS20
356	FASLG	125115	KRT40
356	FASLG	388677	NOTCH2NL
358	AQP1	358	AQP1
358	AQP1	373	TRIM23
358	AQP1	2353	FOS
358	AQP1	3881	KRT31
358	AQP1	3884	KRT33B
358	AQP1	6477	SIAH1
358	AQP1	6925	TCF4
358	AQP1	7185	TRAF1
358	AQP1	7186	TRAF2
358	AQP1	7205	TRIP6
358	AQP1	8601	RGS20
358	AQP1	10188	TNK2
358	AQP1	10253	SPRY2
358	AQP1	11043	MID2
358	AQP1	22806	IKZF3
358	AQP1	22807	IKZF2
358	AQP1	23281	MTUS2
358	AQP1	26575	RGS17
358	AQP1	54793	KCTD9
358	AQP1	55118	CRTAC1
358	AQP1	64651	CSRNP1
358	AQP1	64753	CCDC136
358	AQP1	80817	CEP44
358	AQP1	83899	KRTAP9-2
358	AQP1	85291	KRTAP4-2
358	AQP1	85376	RIMBP3
358	AQP1	123722	FSD2
358	AQP1	125115	KRT40
358	AQP1	158405	KIAA1958
358	AQP1	284001	CCDC57
358	AQP1	285622	NBPF22P
358	AQP1	339834	CCDC36
358	AQP1	386675	KRTAP10-7
358	AQP1	386682	KRTAP10-3
358	AQP1	388677	NOTCH2NL
362	AQP5	3190	HNRNPK
362	AQP5	3881	KRT31
362	AQP5	125115	KRT40
362	AQP5	388677	NOTCH2NL
366	AQP9	89885	FATE1
369	ARAF	3845	KRAS
369	ARAF	57085	AGTRAP
373	TRIM23	373	TRIM23
373	TRIM23	573	BAG1
373	TRIM23	1039	CDR2
373	TRIM23	1329	COX5B
373	TRIM23	1641	DCX
373	TRIM23	1794	DOCK2
373	TRIM23	2624	GATA2
373	TRIM23	3215	HOXB5
373	TRIM23	3801	KIFC3
373	TRIM23	3853	KRT6A
373	TRIM23	3964	LGALS8
373	TRIM23	4005	LMO2
373	TRIM23	5252	PHF1
373	TRIM23	5296	PIK3R2
373	TRIM23	5682	PSMA1
373	TRIM23	6477	SIAH1
373	TRIM23	6591	SNAI2
373	TRIM23	6615	SNAI1
373	TRIM23	6628	SNRPB
373	TRIM23	7114	TMSB4X
373	TRIM23	7128	TNFAIP3
373	TRIM23	7185	TRAF1
373	TRIM23	7329	UBE2I
373	TRIM23	7918	GPANK1
373	TRIM23	8502	PKP4
373	TRIM23	8859	STK19
373	TRIM23	9063	PIAS2
373	TRIM23	9547	CXCL14
373	TRIM23	9586	CREB5
373	TRIM23	9929	JOSD1
373	TRIM23	10024	TROAP
373	TRIM23	10174	SORBS3
373	TRIM23	10524	KAT5
373	TRIM23	10783	NEK6
373	TRIM23	10868	USP20
373	TRIM23	11144	DMC1
373	TRIM23	23650	TRIM29
373	TRIM23	23759	PPIL2
373	TRIM23	27129	HSPB7
373	TRIM23	27238	GPKOW
373	TRIM23	27247	NFU1
373	TRIM23	27343	POLL
373	TRIM23	50650	ARHGEF3
373	TRIM23	51073	MRPL4
373	TRIM23	51324	SPG21
373	TRIM23	51545	ZNF581
373	TRIM23	54540	FAM193B
373	TRIM23	54906	FAM208B
373	TRIM23	55138	FAM90A1
373	TRIM23	55246	CCDC25
373	TRIM23	55633	TBC1D22B
373	TRIM23	55738	ARFGAP1
373	TRIM23	55840	EAF2
373	TRIM23	55916	NXT2
373	TRIM23	56006	SMG9
373	TRIM23	57542	KLHL42
373	TRIM23	57616	TSHZ3
373	TRIM23	57639	CCDC146
373	TRIM23	57674	RNF213
373	TRIM23	58524	DMRT3
373	TRIM23	63898	SH2D4A
373	TRIM23	64170	CARD9
373	TRIM23	64396	GMCL1P1
373	TRIM23	65117	RSRC2
373	TRIM23	65265	C8orf33
373	TRIM23	79173	C19orf57
373	TRIM23	79446	WDR25
373	TRIM23	79696	ZC2HC1C
373	TRIM23	81567	TXNDC5
373	TRIM23	83541	FAM110A
373	TRIM23	83640	FAM103A1
373	TRIM23	84294	UTP23
373	TRIM23	84311	MRPL45
373	TRIM23	84832	ANKRD36BP1
373	TRIM23	84985	FAM83A
373	TRIM23	85302	FBF1
373	TRIM23	91647	ATPAF2
373	TRIM23	113115	MTFR2
373	TRIM23	115106	HAUS1
373	TRIM23	116349	C5orf55
373	TRIM23	118812	MORN4
373	TRIM23	147525	LINC00526
373	TRIM23	154865	IQUB
373	TRIM23	163050	ZNF564
373	TRIM23	166979	CDC20B
373	TRIM23	170954	PPP1R18
373	TRIM23	220136	CFAP53
373	TRIM23	255167	LINC01018
373	TRIM23	285093	RTP5
373	TRIM23	286499	FAM133A
373	TRIM23	287015	TRIM42
373	TRIM23	391257	SUMO1P1
373	TRIM23	644903	FLJ38668
373	TRIM23	729603	LOC729603
374	AREG	386682	KRTAP10-3
378	ARF4	27111	SDCBP2
379	ARL4D	79839	CCDC102B
387	RHOA	396	ARHGDIA
387	RHOA	7205	TRIP6
387	RHOA	9750	FAM65B
387	RHOA	22806	IKZF3
389	RHOC	9750	FAM65B
398	ARHGDIG	79036	KXD1
398	ARHGDIG	645455	CEP170P1
402	ARL2	5147	PDE6D
402	ARL2	9094	UNC119
402	ARL2	23568	ARL2BP
402	ARL2	79718	TBL1XR1
406	ARNTL	3091	HIF1A
407	ARR3	10733	PLK4
407	ARR3	23099	ZBTB43
407	ARR3	84838	ZNF496
408	ARRB1	5601	MAPK9
409	ARRB2	5601	MAPK9
410	ARSA	9319	TRIP13
435	ASL	435	ASL
435	ASL	55093	WDYHV1
439	ASNA1	444	ASPH
439	ASNA1	2882	GPX7
439	ASNA1	29923	HILPDA
440	ASNS	140691	TRIM69
440	ASNS	253769	WDR27
443	ASPA	91703	ACY3
445	ASS1	445	ASS1
463	ZFHX3	125115	KRT40
468	ATF4	1054	CEBPG
468	ATF4	2800	GOLGA1
468	ATF4	2874	GPS2
468	ATF4	8419	BFSP2
468	ATF4	8945	BTRC
468	ATF4	10403	NDC80
468	ATF4	23641	LDOC1
468	ATF4	29903	CCDC106
468	ATF4	57761	TRIB3
468	ATF4	79571	GCC1
468	ATF4	390535	GOLGA8EP
468	ATF4	440321	FLJ32679
475	ATOX1	755	C21orf2
475	ATOX1	9453	GGPS1
475	ATOX1	55007	FAM118A
496	ATP4B	23582	CCNDBP1
498	ATP5A1	506	ATP5B
506	ATP5B	91647	ATPAF2
516	ATP5G1	140691	TRIM69
526	ATP6V1B2	6925	TCF4
527	ATP6V0C	1896	EDA
527	ATP6V0C	4481	MSR1
527	ATP6V0C	5684	PSMA3
527	ATP6V0C	85027	SMIM3
528	ATP6V1C1	528	ATP6V1C1
539	ATP5O	3860	KRT13
539	ATP5O	3866	KRT15
539	ATP5O	7205	TRIP6
539	ATP5O	7541	ZBTB14
539	ATP5O	9240	PNMA1
539	ATP5O	10403	NDC80
539	ATP5O	22978	NT5C2
539	ATP5O	24144	TFIP11
539	ATP5O	64753	CCDC136
539	ATP5O	79618	HMBOX1
539	ATP5O	80321	CEP70
539	ATP5O	83878	USHBP1
539	ATP5O	145282	MIPOL1
570	BAAT	390535	GOLGA8EP
570	BAAT	440321	FLJ32679
570	BAAT	100132565	GOLGA8F
570	BAAT	100132979	GOLGA8DP
572	BAD	598	BCL2L1
573	BAG1	3312	HSPA8
573	BAG1	5708	PSMD2
573	BAG1	5987	TRIM27
577	BAI3	253635	GPATCH11
578	BAK1	597	BCL2A1
578	BAK1	599	BCL2L2
580	BARD1	2801	GOLGA2
580	BARD1	7185	TRAF1
580	BARD1	10615	SPAG5
580	BARD1	10640	EXOC5
580	BARD1	23641	LDOC1
580	BARD1	64753	CCDC136
580	BARD1	80321	CEP70
580	BARD1	125115	KRT40
580	BARD1	171483	FAM9B
583	BBS2	4188	MDFI
583	BBS2	10197	PSME3
583	BBS2	11030	RBPMS
585	BBS4	4656	MYOG
595	CCND1	1019	CDK4
595	CCND1	1026	CDKN1A
595	CCND1	1027	CDKN1B
597	BCL2A1	638	BIK
597	BCL2A1	171483	FAM9B
598	BCL2L1	90427	BMF
599	BCL2L2	638	BIK
599	BCL2L2	6925	TCF4
599	BCL2L2	89885	FATE1
599	BCL2L2	90427	BMF
599	BCL2L2	147872	CCDC155
604	BCL6	604	BCL6
604	BCL6	3801	KIFC3
604	BCL6	6477	SIAH1
604	BCL6	7185	TRAF1
604	BCL6	8548	BLZF1
604	BCL6	51043	ZBTB7B
604	BCL6	51076	CUTC
604	BCL6	96626	LIMS3
604	BCL6	255877	BCL6B
631	BFSP1	23636	NUP62
635	BHMT	635	BHMT
637	BID	5966	REL
637	BID	10768	AHCYL1
638	BIK	89885	FATE1
640	BLK	6774	STAT3
640	BLK	10278	EFS
640	BLK	80125	CCDC33
642	BLMH	642	BLMH
642	BLMH	55093	WDYHV1
642	BLMH	83594	NUDT12
644	BLVRA	84708	LNX1
648	BMI1	1912	PHC2
648	BMI1	6015	RING1
648	BMI1	81565	NDEL1
655	BMP7	3846	KRTAP5-9
655	BMP7	5987	TRIM27
655	BMP7	23281	MTUS2
655	BMP7	386675	KRTAP10-7
655	BMP7	386680	KRTAP10-5
655	BMP7	386681	KRTAP10-8
655	BMP7	386682	KRTAP10-3
655	BMP7	388677	NOTCH2NL
660	BMX	6774	STAT3
663	BNIP2	2444	FRK
663	BNIP2	3831	KLC1
663	BNIP2	4645	MYO5B
663	BNIP2	7348	UPK1B
663	BNIP2	89885	FATE1
664	BNIP3	664	BNIP3
664	BNIP3	665	BNIP3L
664	BNIP3	3895	KTN1
664	BNIP3	8834	TMEM11
664	BNIP3	64581	CLEC7A
664	BNIP3	89885	FATE1
664	BNIP3	388633	LDLRAD1
665	BNIP3L	665	BNIP3L
665	BNIP3L	8834	TMEM11
665	BNIP3L	56935	SMCO4
665	BNIP3L	64581	CLEC7A
665	BNIP3L	89885	FATE1
665	BNIP3L	388633	LDLRAD1
685	BTC	3881	KRT31
685	BTC	29926	GMPPA
689	BTF3	167838	TXLNB
689	BTF3	200081	TXLNA
694	BTG1	9337	CNOT8
699	BUB1	9184	BUB3
705	BYSL	1912	PHC2
705	BYSL	2010	EMD
705	BYSL	2059	EPS8
705	BYSL	2801	GOLGA2
705	BYSL	3881	KRT31
705	BYSL	4281	MID1
705	BYSL	4591	TRIM37
705	BYSL	5987	TRIM27
705	BYSL	6607	SMN2
705	BYSL	7205	TRIP6
705	BYSL	7328	UBE2H
705	BYSL	7541	ZBTB14
705	BYSL	7965	AIMP2
705	BYSL	8161	COIL
705	BYSL	8676	STX11
705	BYSL	8697	CDC23
705	BYSL	9240	PNMA1
705	BYSL	9513	FXR2
705	BYSL	9618	TRAF4
705	BYSL	9659	PDE4DIP
705	BYSL	10318	TNIP1
705	BYSL	10320	IKZF1
705	BYSL	10521	DDX17
705	BYSL	10687	PNMA2
705	BYSL	11043	MID2
705	BYSL	23281	MTUS2
705	BYSL	54550	NECAB2
705	BYSL	55145	THAP1
705	BYSL	55536	CDCA7L
705	BYSL	55734	ZFP64
705	BYSL	57159	TRIM54
705	BYSL	64395	GMCL1
705	BYSL	64753	CCDC136
705	BYSL	79618	HMBOX1
705	BYSL	79720	VPS37B
705	BYSL	79839	CCDC102B
705	BYSL	80125	CCDC33
705	BYSL	80321	CEP70
705	BYSL	80817	CEP44
705	BYSL	81704	DOCK8
705	BYSL	83659	TEKT1
705	BYSL	84445	LZTS2
705	BYSL	84456	L3MBTL3
705	BYSL	84946	LTV1
705	BYSL	84970	C1orf94
705	BYSL	85291	KRTAP4-2
705	BYSL	91694	LONRF1
705	BYSL	114932	MRFAP1L1
705	BYSL	117178	SSX2IP
705	BYSL	125115	KRT40
705	BYSL	138046	RALYL
705	BYSL	145282	MIPOL1
705	BYSL	167826	OLIG3
705	BYSL	171483	FAM9B
705	BYSL	222389	BEND7
705	BYSL	285753	CEP57L1
705	BYSL	386675	KRTAP10-7
705	BYSL	386680	KRTAP10-5
705	BYSL	386682	KRTAP10-3
705	BYSL	653121	ZBTB8A
706	TSPO	90993	CREB3L1
727	C5	90993	CREB3L1
744	MPPED2	6258	RXRG
744	MPPED2	9319	TRIP13
744	MPPED2	55697	VAC14
744	MPPED2	285782	CAGE1
744	MPPED2	729533	FAM72A
752	FMNL1	10363	HMG20A
754	PTTG1IP	64581	CLEC7A
754	PTTG1IP	388633	LDLRAD1
755	C21orf2	64395	GMCL1
759	CA1	7024	TFCP2
765	CA6	3881	KRT31
765	CA6	125115	KRT40
765	CA6	388677	NOTCH2NL
767	CA8	1406	CRX
767	CA8	6926	TBX3
767	CA8	9500	MAGED1
767	CA8	23062	GGA2
767	CA8	51171	HSD17B14
767	CA8	54908	SPDL1
767	CA8	84708	LNX1
779	CACNA1S	79849	PDZD3
786	CACNG1	9218	VAPA
801	CALM1	80726	KIAA1683
801	CALM1	160140	C11orf65
805	CALM2	23125	CAMTA2
805	CALM2	23288	IQCE
805	CALM2	80726	KIAA1683
805	CALM2	81792	ADAMTS12
805	CALM2	128239	IQGAP3
805	CALM2	160140	C11orf65
808	CALM3	10513	APPBP2
808	CALM3	23125	CAMTA2
808	CALM3	23288	IQCE
808	CALM3	57159	TRIM54
808	CALM3	64581	CLEC7A
808	CALM3	80726	KIAA1683
808	CALM3	160140	C11orf65
810	CALML3	80726	KIAA1683
810	CALML3	160140	C11orf65
813	CALU	29979	UBQLN1
816	CAMK2B	816	CAMK2B
816	CAMK2B	5257	PHKB
816	CAMK2B	5912	RAP2B
816	CAMK2B	6135	RPL11
816	CAMK2B	10459	MAD2L2
816	CAMK2B	10933	MORF4L1
816	CAMK2B	11030	RBPMS
816	CAMK2B	11332	ACOT7
816	CAMK2B	23543	RBFOX2
816	CAMK2B	51367	POP5
816	CAMK2B	54797	MED18
816	CAMK2B	57213	SPRYD7
816	CAMK2B	57715	SEMA4G
816	CAMK2B	65003	MRPL11
816	CAMK2B	91056	AP5B1
816	CAMK2B	91875	TTC5
816	CAMK2B	140706	CCM2L
816	CAMK2B	146664	MGAT5B
816	CAMK2B	284069	FAM171A2
816	CAMK2B	337972	KRTAP19-5
816	CAMK2B	337974	KRTAP19-7
816	CAMK2B	386678	KRTAP10-11
817	CAMK2D	817	CAMK2D
817	CAMK2D	2281	FKBP1B
817	CAMK2D	9513	FXR2
817	CAMK2D	10126	DNAL4
817	CAMK2D	30000	TNPO2
817	CAMK2D	54971	BANP
817	CAMK2D	64112	MOAP1
817	CAMK2D	64778	FNDC3B
817	CAMK2D	65003	MRPL11
817	CAMK2D	91875	TTC5
817	CAMK2D	284656	EPHA10
819	CAMLG	3737	KCNA2
822	CAPG	6477	SIAH1
825	CAPN3	29948	OSGIN1
825	CAPN3	55093	WDYHV1
826	CAPNS1	57085	AGTRAP
834	CASP1	55697	VAC14
835	CASP2	835	CASP2
835	CASP2	8738	CRADD
839	CASP6	839	CASP6
840	CASP7	6303	SAT1
842	CASP9	79444	BIRC7
842	CASP9	112401	BIRC8
862	RUNX1T1	2059	EPS8
862	RUNX1T1	4223	MEOX2
862	RUNX1T1	8676	STX11
862	RUNX1T1	9202	ZMYM4
862	RUNX1T1	9404	LPXN
862	RUNX1T1	9454	HOMER3
862	RUNX1T1	10253	SPRY2
862	RUNX1T1	11043	MID2
862	RUNX1T1	23199	GSE1
862	RUNX1T1	51225	ABI3
862	RUNX1T1	54550	NECAB2
862	RUNX1T1	63978	PRDM14
862	RUNX1T1	79173	C19orf57
862	RUNX1T1	79869	CPSF7
862	RUNX1T1	80258	EFHC2
862	RUNX1T1	84445	LZTS2
862	RUNX1T1	90993	CREB3L1
862	RUNX1T1	220082	SPERT
862	RUNX1T1	287015	TRIM42
862	RUNX1T1	339834	CCDC36
868	CBLB	2885	GRB2
868	CBLB	8440	NCK2
868	CBLB	10539	GLRX3
868	CBLB	26003	GORASP2
868	CBLB	84959	UBASH3B
874	CBR3	6386	SDCBP
875	CBS	875	CBS
875	CBS	1962	EHHADH
875	CBS	5300	PIN1
875	CBS	5571	PRKAG1
875	CBS	5682	PSMA1
875	CBS	7329	UBE2I
875	CBS	53347	UBASH3A
883	CCBL1	9319	TRIP13
883	CCBL1	55697	VAC14
887	CCKBR	50863	NTM
892	CCNC	1024	CDK8
892	CCNC	1406	CRX
892	CCNC	2801	GOLGA2
892	CCNC	3860	KRT13
892	CCNC	3866	KRT15
892	CCNC	3881	KRT31
892	CCNC	4223	MEOX2
892	CCNC	4259	MGST3
892	CCNC	4747	NEFL
892	CCNC	7566	ZNF18
892	CCNC	10474	TADA3
892	CCNC	22827	PUF60
892	CCNC	51562	MBIP
892	CCNC	56658	TRIM39
892	CCNC	57326	PBXIP1
892	CCNC	64802	NMNAT1
892	CCNC	84445	LZTS2
892	CCNC	84656	GLYR1
892	CCNC	93986	FOXP2
892	CCNC	114824	PNMA5
892	CCNC	143241	DYDC1
894	CCND2	1020	CDK5
894	CCND2	1026	CDKN1A
896	CCND3	1019	CDK4
896	CCND3	1021	CDK6
896	CCND3	1026	CDKN1A
896	CCND3	24144	TFIP11
896	CCND3	84265	POLR3GL
900	CCNG1	9240	PNMA1
900	CCNG1	10318	TNIP1
900	CCNG1	11030	RBPMS
900	CCNG1	24144	TFIP11
900	CCNG1	57144	PAK7
900	CCNG1	79618	HMBOX1
900	CCNG1	84445	LZTS2
900	CCNG1	125115	KRT40
900	CCNG1	220082	SPERT
900	CCNG1	386675	KRTAP10-7
901	CCNG2	54906	FAM208B
901	CCNG2	80258	EFHC2
902	CCNH	2801	GOLGA2
902	CCNH	2810	SFN
902	CCNH	5682	PSMA1
902	CCNH	8500	PPFIA1
902	CCNH	10241	CALCOCO2
902	CCNH	10403	NDC80
902	CCNH	10534	SSSCA1
902	CCNH	11266	DUSP12
902	CCNH	80125	CCDC33
902	CCNH	80129	CCDC170
902	CCNH	117178	SSX2IP
902	CCNH	147700	KLC3
931	MS4A1	147872	CCDC155
945	CD33	3881	KRT31
945	CD33	125115	KRT40
946	SIGLEC6	2274	FHL2
946	SIGLEC6	6925	TCF4
949	SCARB1	3846	KRTAP5-9
949	SCARB1	386676	KRTAP10-9
956	ENTPD3	163183	SYNE4
957	ENTPD5	4601	MXI1
958	CD40	7186	TRAF2
961	CD47	163183	SYNE4
969	CD69	147744	TMEM190
973	CD79A	89885	FATE1
974	CD79B	6449	SGTA
977	CD151	54762	GRAMD1C
978	CDA	5682	PSMA1
