entrez_gene_ida	symbol_a	entrez_gene_idb	symbol_b
79827	CLMP	79827	CLMP
5911	RAP2A	83593	RASSF5
4281	MID1	51619	UBE2D4
4036	LRP2	10755	GIPC1
6047	RNF4	7321	UBE2D1
760	CA2	65010	SLC26A6
4690	NCK1	50488	MINK1
1387	CREBBP	7080	NKX2-1
5911	RAP2A	9411	ARHGAP29
1719	DHFR	4193	MDM2
7818	DAP3	8797	TNFRSF10A
2624	GATA2	5371	PML
1161	ERCC8	1642	DDB1
1946	EFNA5	1969	EPHA2
25	ABL1	84287	ZDHHC16
4747	NEFL	5585	PKN1
1017	CDK2	9133	CCNB2
694	BTG1	3276	PRMT1
1956	EGFR	5782	PTPN12
6631	SNRPC	8241	RBM10
6597	SMARCA4	23097	CDK19
2260	FGFR1	2888	GRB14
998	CDC42	8476	CDC42BPA
595	CCND1	1026	CDKN1A
3308	HSPA4	6647	SOD1
10921	RNPS1	22985	ACIN1
1605	DAG1	1605	DAG1
7536	SF1	11338	U2AF2
7704	ZBTB16	92140	MTDH
348	APOE	6767	ST13
663	BNIP2	2260	FGFR1
10952	SEC61B	84100	ARL6
5914	RARA	55791	LRIF1
4091	SMAD6	4092	SMAD7
3087	HHEX	5684	PSMA3
6915	TBXA2R	10672	GNA13
1731	SEPT1	9212	AURKB
23770	FKBP8	118813	ZFYVE27
988	CDC5L	5511	PPP1R8
2870	GRK6	3326	HSP90AB1
6878	TAF6	51616	TAF9B
5468	PPARG	5468	PPARG
2579	GAGE7	64395	GMCL1
1000	CDH2	10672	GNA13
4091	SMAD6	64750	SMURF2
3059	HCLS1	7456	WIPF1
7273	TTN	84676	TRIM63
5925	RB1	115426	UHRF2
7128	TNFAIP3	7532	YWHAG
2064	ERBB2	54206	ERRFI1
1786	DNMT1	80854	SETD7
1813	DRD2	2316	FLNA
8932	MBD2	10460	TACC3
2872	MKNK2	5594	MAPK1
10979	FERMT2	54751	FBLIM1
330	BIRC3	842	CASP9
2643	GCH1	7534	YWHAZ
5687	PSMA6	5694	PSMB6
11345	GABARAPL2	84078	KBTBD7
2547	XRCC6	7520	XRCC5
4176	MCM7	8517	IKBKG
861	RUNX1	8409	UXT
5062	PAK2	5879	RAC1
1794	DOCK2	5879	RAC1
87	ACTN1	1191	CLU
2956	MSH6	5883	RAD9A
1964	EIF1AX	9670	IPO13
7018	TF	7018	TF
2113	ETS1	5079	PAX5
6732	SRPK1	10921	RNPS1
1869	E2F1	7029	TFDP2
596	BCL2	5663	PSEN1
1457	CSNK2A1	2353	FOS
4654	MYOD1	8048	CSRP3
2033	EP300	5465	PPARA
2694	GIF	8029	CUBN
573	BAG1	5894	RAF1
10771	ZMYND11	10771	ZMYND11
6198	RPS6KB1	80347	COASY
7248	TSC1	27018	NGFRAP1
5518	PPP2R1A	5529	PPP2R5E
324	APC	1499	CTNNB1
2547	XRCC6	4689	NCF4
3430	IFI35	339390	CLEC4G
2232	FDXR	2272	FHIT
4589	MUC7	6779	STATH
988	CDC5L	1026	CDKN1A
1956	EGFR	83442	SH3BGRL3
3064	HTT	9638	FEZ1
988	CDC5L	4998	ORC1
4210	MEFV	29108	PYCARD
8754	ADAM9	10459	MAD2L2
4218	RAB8A	5871	MAP4K2
1978	EIF4EBP1	9470	EIF4E2
317	APAF1	842	CASP9
1877	E4F1	5925	RB1
1048	CEACAM5	4680	CEACAM6
3280	HES1	7089	TLE2
10712	FAM189B	51741	WWOX
1605	DAG1	1756	DMD
546	ATRX	126961	HIST2H3C
665	BNIP3L	23400	ATP13A2
367	AR	9611	NCOR1
5053	PAH	5053	PAH
2908	NR3C1	6418	SET
4049	LTA	7133	TNFRSF1B
6729	SRP54	10921	RNPS1
2752	GLUL	2752	GLUL
3619	INCENP	23468	CBX5
598	BCL2L1	638	BIK
4193	MDM2	27085	MTBP
3558	IL2	3560	IL2RB
2553	GABPB1	3054	HCFC1
91	ACVR1B	3326	HSP90AB1
3981	LIG4	7091	TLE4
4609	MYC	23528	ZNF281
1741	DLG3	2904	GRIN2B
5689	PSMB1	5696	PSMB8
8648	NCOA1	8856	NR1I2
989	SEPT7	989	SEPT7
5898	RALA	10928	RALBP1
7031	TFF1	27181	SIGLEC8
5913	RAPSN	10657	KHDRBS1
10286	BCAS2	10594	PRPF8
22954	TRIM32	85363	TRIM5
9223	MAGI1	10276	NET1
4236	MFAP1	9129	PRPF3
6464	SHC1	79801	SHCBP1
10226	PLIN3	22836	RHOBTB3
3604	TNFRSF9	7187	TRAF3
6256	RXRA	9575	CLOCK
2339	FNTA	2342	FNTB
6314	ATXN7	55722	CEP72
7422	VEGFA	9510	ADAMTS1
4771	NF2	23560	GTPBP4
5771	PTPN2	10972	TMED10
8945	BTRC	11186	RASSF1
7917	BAG6	140690	CTCFL
7531	YWHAE	81565	NDEL1
58487	CREBZF	58487	CREBZF
6386	SDCBP	6386	SDCBP
1019	CDK4	4609	MYC
8737	RIPK1	11035	RIPK3
2492	FSHR	26060	APPL1
4656	MYOG	6722	SRF
2316	FLNA	83478	ARHGAP24
4088	SMAD3	6497	SKI
273	AMPH	7161	TP73
672	BRCA1	675	BRCA2
1616	DAXX	90135	BTBD6
887	CCKBR	5781	PTPN11
2099	ESR1	8295	TRRAP
1460	CSNK2B	57761	TRIB3
2314	FLII	9209	LRRFIP2
708	C1QBP	22927	HABP4
28964	GIT1	55791	LRIF1
166	AES	342371	ATXN1L
793	CALB1	10048	RANBP9
7319	UBE2A	130507	UBR3
902	CCNH	23552	CDK20
1915	EEF1A1	7534	YWHAZ
3554	IL1R1	3557	IL1RN
3326	HSP90AB1	373509	USP50
7290	HIRA	55723	ASF1B
3054	HCFC1	54985	HCFC1R1
6199	RPS6KB2	8517	IKBKG
4152	MBD1	55729	ATF7IP
1742	DLG4	3761	KCNJ4
5894	RAF1	5925	RB1
708	C1QBP	8739	HRK
196	AHR	6878	TAF6
5499	PPP1CA	54843	SYTL2
3039	HBA1	3045	HBD
3551	IKBKB	8533	COPS3
4801	NFYB	6900	CNTN2
10036	CHAF1A	10926	DBF4
5894	RAF1	5906	RAP1A
6310	ATXN1	7531	YWHAE
8649	LAMTOR3	28956	LAMTOR2
26297	SERGEF	55770	EXOC2
387	RHOA	396	ARHGDIA
5499	PPP1CA	116154	PHACTR3
1234	CCR5	11230	PRAF2
367	AR	7182	NR2C2
29993	PACSIN1	29993	PACSIN1
5970	RELA	9349	RPL23
5770	PTPN1	55503	TRPV6
4854	NOTCH3	9794	MAML1
5610	EIF2AK2	5611	DNAJC3
572	BAD	5499	PPP1CA
3326	HSP90AB1	9020	MAP3K14
596	BCL2	664	BNIP3
4602	MYB	51701	NLK
7323	UBE2D3	79594	MUL1
904	CCNT1	2896	GRN
6496	SIX3	8013	NR4A3
6788	STK3	83937	RASSF4
7112	TMPO	11339	OIP5
5608	MAP2K6	5608	MAP2K6
5584	PRKCI	10817	FRS3
650	BMP2	11167	FSTL1
1600	DAB1	4036	LRP2
64426	SUDS3	64426	SUDS3
6045	RNF2	23492	CBX7
8517	IKBKG	79173	C19orf57
2783	GNB2	25814	ATXN10
5950	RBP4	7276	TTR
773	CACNA1A	347902	AMIGO2
2268	FGR	6774	STAT3
2176	FANCC	3303	HSPA1A
4091	SMAD6	5613	PRKX
2324	FLT4	8517	IKBKG
7205	TRIP6	23513	SCRIB
10524	KAT5	23650	TRIM29
2775	GNAO1	6004	RGS16
10488	CREB3	81501	DCSTAMP
3560	IL2RB	3600	IL15
1499	CTNNB1	9223	MAGI1
4175	MCM6	23594	ORC6
10953	TOMM34	51382	ATP6V1D
10492	SYNCRIP	29974	A1CF
6399	TRAPPC2	51112	TRAPPC12
5688	PSMA7	5688	PSMA7
3064	HTT	29072	SETD2
8932	MBD2	85509	MBD3L1
4792	NFKBIA	7157	TP53
6093	ROCK1	7251	TSG101
10956	OS9	127579	DCST2
5454	POU3F2	5454	POU3F2
990	CDC6	23594	ORC6
5563	PRKAA2	5565	PRKAB2
3479	IGF1	3488	IGFBP5
4005	LMO2	5927	KDM5A
9837	GINS1	84296	GINS4
1053	CEBPE	10538	BATF
190	NR0B1	6095	RORA
8294	HIST1H4I	26013	L3MBTL1
2318	FLNC	6416	MAP2K4
3122	HLA-DRA	3127	HLA-DRB5
2246	FGF1	2260	FGFR1
1869	E2F1	4692	NDN
4055	LTBR	7187	TRAF3
10403	NDC80	10403	NDC80
7048	TGFBR2	7049	TGFBR3
81607	PVRL4	201633	TIGIT
2512	FTL	3064	HTT
5911	RAP2A	10636	RGS14
3567	IL5	3568	IL5RA
302	ANXA2	4292	MLH1
9353	SLIT2	9353	SLIT2
51510	CHMP5	148362	BROX
7541	ZBTB14	112939	NACC1
5307	PITX1	5449	POU1F1
8396	PIP4K2B	8405	SPOP
23016	EXOSC7	118460	EXOSC6
6788	STK3	166824	RASSF6
8517	IKBKG	51143	DYNC1LI1
2186	BPTF	9817	KEAP1
4790	NFKB1	9276	COPB2
5000	ORC4	5001	ORC5
5138	PDE2A	9049	AIP
2242	FES	84941	HSH2D
1053	CEBPE	55509	BATF3
2268	FGR	6850	SYK
10238	DCAF7	28996	HIPK2
10564	ARFGEF2	26292	MYCBP
466	ATF1	1457	CSNK2A1
322	APBB1	10524	KAT5
1437	CSF2	1438	CSF2RA
1050	CEBPA	1050	CEBPA
1832	DSP	11187	PKP3
324	APC	5525	PPP2R5A
1437	CSF2	1441	CSF3R
4688	NCF2	5880	RAC2
5310	PKD1	5311	PKD2
10445	MCRS1	11007	CCDC85B
6453	ITSN1	6616	SNAP25
672	BRCA1	57096	RPGRIP1
5573	PRKAR1A	23598	PATZ1
4843	NOS2	4843	NOS2
2099	ESR1	11331	PHB2
3184	HNRNPD	140890	SREK1
4097	MAFG	4779	NFE2L1
8350	HIST1H3A	26013	L3MBTL1
2064	ERBB2	5781	PTPN11
2534	FYN	115426	UHRF2
2534	FYN	9743	ARHGAP32
9355	LHX2	10370	CITED2
6634	SNRPD3	140890	SREK1
9837	GINS1	64785	GINS3
10523	CHERP	118924	FRA10AC1
8932	MBD2	125997	MBD3L2
51690	LSM7	57819	LSM2
5879	RAC1	10811	NOXA1
2064	ERBB2	2065	ERBB3
2120	ETV6	10524	KAT5
7323	UBE2D3	10277	UBE4B
10623	POLR3C	84265	POLR3GL
6645	SNTB2	22983	MAST1
5890	RAD51B	8294	HIST1H4I
581	BAX	4550	NULL
3952	LEP	3953	LEPR
583	BBS2	10211	FLOT1
4790	NFKB1	10318	TNIP1
367	AR	7329	UBE2I
1737	DLAT	5162	PDHB
10256	CNKSR1	29984	RHOD
6403	SELP	6404	SELPLG
324	APC	10657	KHDRBS1
3691	ITGB4	3692	EIF6
387	RHOA	3737	KCNA2
5093	PCBP1	22827	PUF60
10673	TNFSF13B	23495	TNFRSF13B
124590	USH1G	124590	USH1G
2648	KAT2A	6871	TADA2A
2887	GRB10	5979	RET
9500	MAGED1	26574	AATF
5987	TRIM27	7323	UBE2D3
1760	DMPK	3316	HSPB2
10181	RBM5	27339	PRPF19
10849	CD3EAP	25885	POLR1A
8541	PPFIA3	28964	GIT1
25	ABL1	55824	PAG1
1855	DVL1	2059	EPS8
142	PARP1	23649	POLA2
8038	ADAM12	152503	SH3D19
5048	PAFAH1B1	54820	NDE1
23224	SYNE2	25777	SUN2
5499	PPP1CA	63898	SH2D4A
2033	EP300	2099	ESR1
3265	HRAS	54922	RASIP1
7321	UBE2D1	11043	MID2
2885	GRB2	7916	PRRC2A
7186	TRAF2	8784	TNFRSF18
87	ACTN1	7273	TTN
1869	E2F1	5925	RB1
5894	RAF1	5894	RAF1
5371	PML	55743	CHFR
7324	UBE2E1	81559	TRIM11
8761	PABPC4	22822	PHLDA1
5684	PSMA3	9212	AURKB
4734	NEDD4	4778	NFE2
1388	ATF6B	4802	NFYC
5876	RABGGTB	8073	PTP4A2
324	APC	1495	CTNNA1
3217	HOXB7	5087	PBX1
3758	KCNJ1	9351	SLC9A3R2
269	AMHR2	3326	HSP90AB1
3329	HSPD1	5340	PLG
636	BICD1	6774	STAT3
6733	SRPK2	91746	YTHDC1
10980	COPS6	10980	COPS6
4149	MAX	10608	MXD4
3758	KCNJ1	9368	SLC9A3R1
10952	SEC61B	23400	ATP13A2
5792	PTPRF	5792	PTPRF
1875	E2F5	5934	RBL2
10594	PRPF8	84292	WDR83
331	XIAP	842	CASP9
2272	FHIT	2272	FHIT
6921	TCEB1	6924	TCEB3
1460	CSNK2B	23552	CDK20
4088	SMAD3	8646	CHRD
8826	IQGAP1	9223	MAGI1
3326	HSP90AB1	6195	RPS6KA1
5565	PRKAB2	5571	PRKAG1
994	CDC25B	1017	CDK2
4298	MLLT1	57332	CBX8
2043	EPHA4	25791	NGEF
3397	ID1	64100	ELSPBP1
5394	EXOSC10	26019	UPF2
4922	NTS	4923	NTSR1
2057	EPOR	6776	STAT5A
5600	MAPK11	10467	ZNHIT1
3265	HRAS	9610	RIN1
3725	JUN	55509	BATF3
919	CD247	6464	SHC1
1602	DACH1	7329	UBE2I
7322	UBE2D2	54778	RNF111
8626	TP63	91768	CABLES1
4287	ATXN3	80262	C16orf70
351	APP	3416	IDE
3083	HGFAC	6692	SPINT1
6304	SATB1	51588	PIAS4
23345	SYNE1	23345	SYNE1
2081	ERN1	10987	COPS5
1432	MAPK14	5594	MAPK1
1387	CREBBP	4609	MYC
4286	MITF	5925	RB1
7311	UBA52	29979	UBQLN1
10134	BCAP31	201562	PTPLB
1441	CSF3R	6464	SHC1
2273	FHL1	6015	RING1
2130	EWSR1	11186	RASSF1
5588	PRKCQ	5590	PRKCZ
3190	HNRNPK	4904	YBX1
1869	E2F1	56654	NPDC1
5682	PSMA1	5699	PSMB10
5159	PDGFRB	5329	PLAUR
5914	RARA	9612	NCOR2
23647	ARFIP2	23647	ARFIP2
6844	VAMP2	23400	ATP13A2
50618	ITSN2	58513	EPS15L1
9175	MAP3K13	10935	PRDX3
2033	EP300	10401	PIAS3
6047	RNF4	7329	UBE2I
990	CDC6	4171	MCM2
7251	TSG101	11267	SNF8
2317	FLNB	54751	FBLIM1
3198	HOXA1	84766	CRACR2A
7132	TNFRSF1A	25999	CLIP3
2353	FOS	3726	JUNB
26353	HSPB8	27129	HSPB7
7314	UBB	10133	OPTN
5747	PTK2	7525	YES1
598	BCL2L1	90427	BMF
4830	NME1	6790	AURKA
6934	TCF7L2	7329	UBE2I
340061	TMEM173	340061	TMEM173
1911	PHC1	1912	PHC2
10002	NR2E3	22907	DHX30
6015	RING1	57332	CBX8
8473	OGT	8473	OGT
1020	CDK5	11140	CDC37
3091	HIF1A	10987	COPS5
1026	CDKN1A	51053	GMNN
1124	CHN2	5879	RAC1
867	CBL	7322	UBE2D2
2912	GRM2	3356	HTR2A
348	APOE	9911	TMCC2
3516	RBPJ	84934	RITA1
4152	MBD1	8554	PIAS1
2099	ESR1	57109	REXO4
9149	DYRK1B	10048	RANBP9
1308	COL17A1	3875	KRT18
6811	STX5	9527	GOSR1
3064	HTT	3092	HIP1
5817	PVR	25945	PVRL3
23524	SRRM2	25988	HINFP
2935	GSPT1	26986	PABPC1
2099	ESR1	84458	LCOR
1147	CHUK	2175	FANCA
28964	GIT1	28964	GIT1
7040	TGFB1	7049	TGFBR3
2033	EP300	4087	SMAD2
6045	RNF2	84333	PCGF5
7048	TGFBR2	9133	CCNB2
7490	WT1	9589	WTAP
1478	CSTF2	10923	SUB1
2260	FGFR1	3350	HTR1A
8517	IKBKG	84320	ACBD6
2645	GCK	5207	PFKFB1
4943	TBC1D25	11337	GABARAP
2959	GTF2B	5434	POLR2E
6934	TCF7L2	9802	DAZAP2
2516	NR5A1	6662	SOX9
6256	RXRA	6256	RXRA
6934	TCF7L2	10459	MAD2L2
10211	FLOT1	10580	SORBS1
7048	TGFBR2	222663	SCUBE3
8805	TRIM24	10155	TRIM28
8932	MBD2	53615	MBD3
5683	PSMA2	5688	PSMA7
3516	RBPJ	8850	KAT2B
9129	PRPF3	10569	SLU7
6310	ATXN1	6310	ATXN1
1308	COL17A1	3691	ITGB4
6772	STAT1	8554	PIAS1
6774	STAT3	90480	GADD45GIP1
23708	GSPT2	26986	PABPC1
1173	AP2M1	1493	CTLA4
997	CDC34	1460	CSNK2B
780	DDR1	8440	NCK2
2104	ESRRG	2104	ESRRG
5599	MAPK8	9479	MAPK8IP1
4862	NPAS2	5914	RARA
8554	PIAS1	9994	CASP8AP2
672	BRCA1	81554	WBSCR16
5931	RBBP7	8294	HIST1H4I
83737	ITCH	92714	ARRDC1
388	RHOB	11113	CIT
7529	YWHAB	7531	YWHAE
5499	PPP1CA	51729	WBP11
3014	H2AFX	9656	MDC1
3665	IRF7	10010	TANK
8411	EEA1	57403	RAB22A
7043	TGFB3	7043	TGFB3
6452	SH3BP2	28988	DBNL
23028	KDM1A	126961	HIST2H3C
2100	ESR2	8805	TRIM24
5093	PCBP1	9360	PPIG
998	CDC42	148170	CDC42EP5
367	AR	7110	TMF1
367	AR	10499	NCOA2
3676	ITGA4	3688	ITGB1
5683	PSMA2	5693	PSMB5
2036	EPB41L1	116986	AGAP2
8350	HIST1H3A	51147	ING4
7189	TRAF6	9618	TRAF4
3066	HDAC2	5036	PA2G4
4437	MSH3	5883	RAD9A
3688	ITGB1	7412	VCAM1
3312	HSPA8	4193	MDM2
1508	CTSB	30011	SH3KBP1
3980	LIG3	7515	XRCC1
1107	CHD3	26135	SERBP1
5859	QARS	7965	AIMP2
10211	FLOT1	10818	FRS2
302	ANXA2	6778	STAT6
267	AMFR	7327	UBE2G2
4088	SMAD3	7041	TGFB1I1
5156	PDGFRA	9368	SLC9A3R1
10300	KATNB1	11104	KATNA1
367	AR	25898	RCHY1
4082	MARCKS	10140	TOB1
672	BRCA1	25920	NELFB
8900	CCNA1	147011	PROCA1
4193	MDM2	6277	S100A6
7128	TNFAIP3	8887	TAX1BP1
8533	COPS3	51138	COPS4
672	BRCA1	8543	LMO4
7015	TERT	7323	UBE2D3
1460	CSNK2B	1460	CSNK2B
8517	IKBKG	266812	NAP1L5
7186	TRAF2	23495	TNFRSF13B
4478	MSN	7248	TSC1
596	BCL2	672	BRCA1
11059	WWP1	92714	ARRDC1
604	BCL6	9611	NCOR1
715	C1R	716	C1S
5824	PEX19	8504	PEX3
7189	TRAF6	23118	TAB2
7048	TGFBR2	7048	TGFBR2
4091	SMAD6	51588	PIAS4
7297	TYK2	152789	JAKMIP1
7593	MZF1	23641	LDOC1
3856	KRT8	5493	PPL
7849	PAX8	57515	SERINC1
672	BRCA1	3628	INPP1
1954	MEGF8	6314	ATXN7
4292	MLH1	6709	SPTAN1
7324	UBE2E1	54778	RNF111
8290	HIST3H3	9682	KDM4A
1956	EGFR	7345	UCHL1
5140	PDE3B	146850	PIK3R6
4892	NRAP	10324	KLHL41
4300	MLLT3	4300	MLLT3
26519	TIMM10	26520	TIMM9
3156	HMGCR	29914	UBIAD1
7334	UBE2N	9666	DZIP3
10049	DNAJB6	25855	BRMS1
6500	SKP1	55294	FBXW7
2885	GRB2	2885	GRB2
6035	RNASE1	6050	RNH1
6256	RXRA	9970	NR1I3
375	ARF1	375	ARF1
2017	CTTN	50807	ASAP1
6310	ATXN1	84528	RHOXF2
472	ATM	5499	PPP1CA
2035	EPB41	55835	CENPJ
7532	YWHAG	9759	HDAC4
1466	CSRP2	8554	PIAS1
1191	CLU	23059	CLUAP1
2784	GNB3	2787	GNG5
5174	PDZK1	10158	PDZK1IP1
2175	FANCA	2175	FANCA
5710	PSMD4	51667	NUB1
4045	LSAMP	4045	LSAMP
5218	CDK14	219771	CCNY
8517	IKBKG	63941	NECAB3
4118	MAL	4615	MYD88
5720	PSME1	5720	PSME1
996	CDC27	51343	FZR1
10724	MGEA5	11140	CDC37
9604	RNF14	10477	UBE2E3
4644	MYO5A	140465	MYL6B
10454	TAB1	23118	TAB2
7181	NR2C1	8841	HDAC3
377	ARF3	26088	GGA1
5621	PRNP	29994	BAZ2B
1915	EEF1A1	7258	TSPY1
9246	UBE2L6	54941	RNF125
7137	TNNI3	51086	TNNI3K
208	AKT2	3320	HSP90AA1
207	AKT1	6622	SNCA
25945	PVRL3	201633	TIGIT
7329	UBE2I	30818	KCNIP3
896	CCND3	7421	VDR
2665	GDI2	5867	RAB4A
3308	HSPA4	6449	SGTA
5290	PIK3CA	5295	PIK3R1
5191	PEX7	5195	PEX14
4193	MDM2	6201	RPS7
1488	CTBP2	2275	FHL3
55578	SUPT20H	79065	ATG9A
5930	RBBP6	6432	SRSF7
1026	CDKN1A	6494	SIPA1
4607	MYBPC3	4607	MYBPC3
4294	MAP3K10	7531	YWHAE
1660	DHX9	3609	ILF3
867	CBL	1436	CSF1R
3725	JUN	4734	NEDD4
2395	FXN	9512	PMPCB
4436	MSH2	84464	SLX4
25888	ZNF473	134353	LSM11
6477	SIAH1	9351	SLC9A3R2
2965	GTF2H1	10318	TNIP1
1499	CTNNB1	3094	HINT1
1410	CRYAB	26353	HSPB8
2099	ESR1	8554	PIAS1
1213	CLTC	10043	TOM1
9470	EIF4E2	64599	GIGYF1
4800	NFYA	6667	SP1
1107	CHD3	6886	TAL1
10971	YWHAQ	23164	MPRIP
7188	TRAF5	7188	TRAF5
4163	MCC	23513	SCRIB
3717	JAK2	9021	SOCS3
7157	TP53	8848	TSC22D1
6500	SKP1	51530	ZC3HC1
904	CCNT1	29969	MDFIC
4077	NBR1	11345	GABARAPL2
5702	PSMC3	29893	PSMC3IP
64400	AKTIP	84376	HOOK3
408	ARRB1	4905	NSF
2274	FHL2	5594	MAPK1
472	ATM	5501	PPP1CC
6464	SHC1	6776	STAT5A
2078	ERG	2114	ETS2
8777	MPDZ	59339	PLEKHA2
3020	H3F3A	23468	CBX5
3638	INSIG1	10857	PGRMC1
3556	IL1RAP	54472	TOLLIP
4436	MSH2	5810	RAD1
1956	EGFR	5770	PTPN1
3727	JUND	10538	BATF
8773	SNAP23	9341	VAMP3
1191	CLU	1191	CLU
6633	SNRPD2	11157	LSM6
8915	BCL10	29775	CARD10
5245	PHB	5925	RB1
972	CD74	3122	HLA-DRA
1647	GADD45A	5111	PCNA
7329	UBE2I	8626	TP63
6720	SREBF1	6720	SREBF1
8761	PABPC4	140890	SREK1
3655	ITGA6	3691	ITGB4
1026	CDKN1A	80308	FLAD1
4624	MYH6	58498	MYL7
3662	IRF4	6688	SPI1
5688	PSMA7	5698	PSMB9
4627	MYH9	6275	S100A4
4208	MEF2C	54345	SOX18
1147	CHUK	8517	IKBKG
10413	YAP1	23291	FBXW11
6597	SMARCA4	23468	CBX5
55035	NOL8	64121	RRAGC
4356	MPP3	23705	CADM1
6733	SRPK2	9584	RBM39
57154	SMURF1	79176	FBXL15
8517	IKBKG	29883	CNOT7
25	ABL1	867	CBL
3074	HEXB	3074	HEXB
4194	MDM4	7681	MKRN3
7534	YWHAZ	9156	EXO1
4281	MID1	4281	MID1
4609	MYC	9111	NMI
3398	ID2	6929	TCF3
1029	CDKN2A	1616	DAXX
6786	STIM1	84876	ORAI1
3692	EIF6	10399	GNB2L1
3603	IL16	3772	KCNJ15
7334	UBE2N	57534	MIB1
324	APC	8313	AXIN2
5087	PBX1	5316	PKNOX1
5595	MAPK3	8986	RPS6KA4
1734	DIO2	7326	UBE2G1
10130	PDIA6	23400	ATP13A2
4747	NEFL	7248	TSC1
11338	U2AF2	79869	CPSF7
4615	MYD88	8405	SPOP
3875	KRT18	5310	PKD1
1674	DES	1832	DSP
2885	GRB2	3937	LCP2
8408	ULK1	11345	GABARAPL2
2120	ETV6	7329	UBE2I
226	ALDOA	5111	PCNA
2099	ESR1	4221	MEN1
773	CACNA1A	22859	LPHN1
2099	ESR1	9759	HDAC4
337	APOA4	337	APOA4
5753	PTK6	5753	PTK6
84313	VPS25	84313	VPS25
2891	GRIA2	9463	PICK1
4644	MYO5A	8655	DYNLL1
7031	TFF1	11119	BTN3A1
4659	PPP1R12A	23164	MPRIP
5333	PLCD1	5898	RALA
2002	ELK1	10459	MAD2L2
51619	UBE2D4	55743	CHFR
6504	SLAMF1	117157	SH2D1B
1975	EIF4B	8661	EIF3A
5663	PSEN1	5664	PSEN2
665	BNIP3L	665	BNIP3L
409	ARRB2	4193	MDM2
4690	NCK1	8976	WASL
995	CDC25C	7529	YWHAB
2776	GNAQ	60626	RIC8A
1488	CTBP2	23645	PPP1R15A
7323	UBE2D3	151636	DTX3L
2099	ESR1	6597	SMARCA4
9053	MAP7	59341	TRPV4
667	DST	1639	DCTN1
11033	ADAP1	23303	KIF13B
4193	MDM2	7314	UBB
5331	PLCB3	9351	SLC9A3R2
5621	PRNP	54478	FAM64A
4193	MDM2	4194	MDM4
1026	CDKN1A	7157	TP53
6456	SH3GL2	6457	SH3GL3
27	ABL2	1398	CRK
5914	RARA	7337	UBE3A
6249	CLIP1	7277	TUBA4A
925	CD8A	925	CD8A
7982	ST7	10399	GNB2L1
1956	EGFR	10963	STIP1
5295	PIK3R1	6654	SOS1
4849	CNOT3	23066	CAND2
5502	PPP1R1A	23645	PPP1R15A
322	APBB1	334	APLP2
351	APP	847	CAT
5364	PLXNB1	23365	ARHGEF12
581	BAX	637	BID
8294	HIST1H4I	8520	HAT1
51010	EXOSC3	56915	EXOSC5
55746	NUP133	57122	NUP107
1410	CRYAB	81606	LBH
4086	SMAD1	23592	LEMD3
583	BBS2	23265	EXOC7
7251	TSG101	10142	AKAP9
8291	DYSF	9172	MYOM2
3035	HARS	3035	HARS
1508	CTSB	6281	S100A10
1386	ATF2	1459	CSNK2A2
1909	EDNRA	51564	HDAC7
672	BRCA1	23028	KDM1A
1080	CFTR	5519	PPP2R1B
7531	YWHAE	7533	YWHAH
284	ANGPT1	7010	TEK
10498	CARM1	10847	SRCAP
6117	RPA1	6119	RPA3
4831	NME2	9270	ITGB1BP1
4901	NRL	84922	FIZ1
5777	PTPN6	140885	SIRPA
330	BIRC3	330	BIRC3
5204	PFDN5	8517	IKBKG
4300	MLLT3	57332	CBX8
3202	HOXA5	7291	TWIST1
2317	FLNB	5664	PSEN2
1069	CETN2	9814	SFI1
4300	MLLT3	54880	BCOR
5536	PPP5C	10672	GNA13
6015	RING1	6015	RING1
88	ACTN2	8291	DYSF
4292	MLH1	27030	MLH3
8815	BANF1	8815	BANF1
8648	NCOA1	10987	COPS5
5982	RFC2	5985	RFC5
2639	GCDH	4846	NOS3
1973	EIF4A1	1981	EIF4G1
801	CALM1	7249	TSC2
10523	CHERP	55692	LUC7L
1785	DNM2	2017	CTTN
4909	NTF4	4915	NTRK2
9015	TAF1A	79101	TAF1D
5868	RAB5A	9135	RABEP1
9402	GRAP2	10399	GNB2L1
6667	SP1	6874	TAF4
2803	GOLGA4	23499	MACF1
2033	EP300	2547	XRCC6
672	BRCA1	7321	UBE2D1
5595	MAPK3	5604	MAP2K1
2913	GRM3	5494	PPM1A
2335	FN1	4089	SMAD4
4292	MLH1	9156	EXO1
2810	SFN	2810	SFN
3190	HNRNPK	7409	VAV1
1571	CYP2E1	2189	FANCG
5894	RAF1	6237	RRAS
3912	LAMB1	6314	ATXN7
2178	FANCE	2189	FANCG
4803	NGF	4914	NTRK1
1026	CDKN1A	56647	BCCIP
2932	GSK3B	7431	VIM
1617	DAZ1	1618	DAZL
4149	MAX	8295	TRRAP
6721	SREBF2	6721	SREBF2
5241	PGR	79004	CUEDC2
81603	TRIM8	81603	TRIM8
894	CCND2	7703	PCGF2
9638	FEZ1	23122	CLASP2
23586	DDX58	23586	DDX58
2099	ESR1	5881	RAC3
1050	CEBPA	22809	ATF5
4094	MAF	9935	MAFB
5888	RAD51	115426	UHRF2
6774	STAT3	8553	BHLHE40
7374	UNG	8493	PPM1D
51755	CDK12	55660	PRPF40A
6455	SH3GL1	6455	SH3GL1
1655	DDX5	2091	FBL
2885	GRB2	10657	KHDRBS1
